#,Question,Answer
1,Who is the prime minister of the UK,Boris Johnson
2,Who is the pm of the UK,Boris Johnson
3,who is in charge of the UK,Boris Johnson
4,who is the UK leader,Boris Johnson
5,who is the prime minister,Boris Johnson
6,what is the DFE,Department for Education
7,which department is gavin williamson responsible for ,Department for Education
8,what is the ESFA,Education skills funding agency
9,what does the DFE do ,"The Department for Education (DfE) is a department of Her Majesty's Government responsible for child protection, education (compulsory, further and higher education), apprenticeships and wider skills in England."
10,what is the remit of the DFE,"The Department for Education (DfE) is a department of Her Majesty's Government responsible for child protection, education (compulsory, further and higher education), apprenticeships and wider skills in England."
11,what is the DFE responsible for ,"The Department for Education (DfE) is a department of Her Majesty's Government responsible for child protection, education (compulsory, further and higher education), apprenticeships and wider skills in England."
12,what is the Department for education responsible for,"The Department for Education (DfE) is a department of Her Majesty's Government responsible for child protection, education (compulsory, further and higher education), apprenticeships and wider skills in England."
13,what is the remit of the Department for Education,"The Department for Education (DfE) is a department of Her Majesty's Government responsible for child protection, education (compulsory, further and higher education), apprenticeships and wider skills in England."
14,what does the Department for Education do ,"The Department for Education (DfE) is a department of Her Majesty's Government responsible for child protection, education (compulsory, further and higher education), apprenticeships and wider skills in England."
15,what is the ESFA responsible for ,"The Education skills funding agency is accountable for funding education and training for children, young people and adults."
16,what is the Education skills funding agency responsible for,"The Education skills funding agency is accountable for funding education and training for children, young people and adults."
17,what is the remit of the Education skills funding agency,"The Education skills funding agency is accountable for funding education and training for children, young people and adults."
18,what does the ESFA do ,"The Education skills funding agency is accountable for funding education and training for children, young people and adults."
19,what does the Education skills funding agency do ,"The Education skills funding agency is accountable for funding education and training for children, young people and adults."
20,who is in charge of the DFE,The Secretary of State for Education is Gavin williamson
21,who is the Secretary of State for Education,The Secretary of State for Education is Gavin williamson
22,who is gavin williamson,The Secretary of State for Education is Gavin williamson
